Year,City,Country,Continent,Summer,Winter,Opening,Close,Announcement,Index
2018,Pyeongchang, South Korea,Asia,,XXIII,9-Feb-18,25-Feb-18,6-Jul-11,KOSPI Index
2016,Rio de Janeiro, Brazil,South America,XXXI,,5-Aug-16,21-Aug-16,2-Oct-09,IBOV Index
2014,Sochi, Russia,Europe,,XXII,7-Feb-14,23-Feb-14,4-Jul-07,IMOEX Index
2012,London, United Kingdom,Europe,XXX,,27-Jul-12,12-Aug-12,6-Jul-05,UKX Index
2010,Vancouver, Canada,North America,,XXI,12-Feb-10,28-Feb-10,2-Jul-03,SPTSX Index
2008,Beijing, China,Asia,XXIX,,8-Aug-08,24-Aug-08,13-Jul-01,SHCOMP Index
2006,Turin, Italy,Europe,,XX,10-Feb-06,26-Feb-06,19-Jun-99,FTSEMIB Index
2004,Athens, Greece,Europe,XXVIII,,13-Aug-04,29-Aug-04,9-May-97,ASE Index
2002,Salt Lake City, United States,North America,,XIX,8-Feb-02,24-Feb-02,16-Jun-95,SPX Index
