"Figure 6: Unemployment rates have levelled off over the last year, following a period of decreasing rates",""
"UK unemployment rates (aged 16 years and over), seasonally adjusted, between January to March 1971 and March to May 2020",""
"",""
"Notes",""
"Unit","Percentage of economically active"
"",""
"Period","People","Men","Women"
"Aug-Oct 2016","4.829","4.979","4.659"
"Sep-Nov 2016","4.794","4.970","4.595"
"Oct-Dec 2016","4.742","4.910","4.552"
"Nov-Jan 2017","4.707","4.855","4.539"
"Dec-Feb 2017","4.640","4.786","4.475"
"Jan-Mar 2017","4.563","4.741","4.362"
"Feb-Apr 2017","4.540","4.684","4.377"
"Mar-May 2017","4.445","4.622","4.245"
"Apr-Jun 2017","4.425","4.571","4.260"
"May-Jul 2017","4.338","4.444","4.217"
"Jun-Aug 2017","4.328","4.388","4.260"
"Jul-Sep 2017","4.267","4.337","4.188"
"Aug-Oct 2017","4.243","4.381","4.089"
"Sep-Nov 2017","4.272","4.310","4.229"
"Oct-Dec 2017","4.352","4.369","4.333"
"Nov-Jan 2018","4.306","4.232","4.390"
"Dec-Feb 2018","4.213","4.198","4.230"
"Jan-Mar 2018","4.198","4.199","4.197"
"Feb-Apr 2018","4.189","4.286","4.079"
"Mar-May 2018","4.165","4.214","4.110"
"Apr-Jun 2018","4.037","4.043","4.030"
"May-Jul 2018","4.021","4.014","4.030"
"Jun-Aug 2018","4.035","4.095","3.967"
"Jul-Sep 2018","4.073","4.167","3.967"
"Aug-Oct 2018","4.055","4.137","3.963"
"Sep-Nov 2018","4.039","4.101","3.969"
"Oct-Dec 2018","4.014","4.137","3.873"
"Nov-Jan 2019","3.931","4.034","3.814"
"Dec-Feb 2019","3.942","4.054","3.815"
"Jan-Mar 2019","3.818","3.898","3.727"
"Feb-Apr 2019","3.830","3.990","3.650"
"Mar-May 2019","3.796","3.958","3.613"
"Apr-Jun 2019","3.893","4.113","3.647"
"May-Jul 2019","3.797","3.952","3.624"
"Jun-Aug 2019","3.863","4.045","3.658"
"Jul-Sep 2019","3.833","4.054","3.584"
"Aug-Oct 2019","3.757","3.964","3.525"
"Sep-Nov 2019","3.819","4.041","3.570"
"Oct-Dec 2019","3.769","3.922","3.598"
"Nov-Jan 2020","3.913","4.138","3.663"
"Dec-Feb 2020","3.961","4.214","3.681"
"Jan-Mar 2020","3.907","4.114","3.678"
"Feb-Apr 2020","3.891","4.104","3.656"
"Mar-May 2020","3.928","4.031","3.815"
